time,geotop_surface_water,geotop_soilwater,geotop_unsat_soilwater,geotop_groundwt_soilwater,geotop_topsoilmoisture_m2,geotop_qoutlandsup_m3persec
3600,0,16697.5320017288,3995.93579346027,12701.5962082685,1215.17491042614,0
7200,0,16697.6133373499,3996.01712908138,12701.5962082685,1223.3459122479,0
10800,0,16697.6651693254,4135.86640360069,12561.7987657247,1241.61601439118,0
14400,0,16697.6958120045,4095.95491983871,12601.7408921658,1263.21390345693,0
18000,0,16697.7159284816,3996.11972021307,12701.5962082685,1285.9445028007,0
21600,0,16697.730807339,4016.10566229103,12681.625145048,1308.47940072417,0
25200,0,16697.7417360343,3996.14552776572,12701.5962082685,1329.59349676967,0
28800,0,16697.7494276722,3976.18215618312,12721.5672714891,1350.02499595284,0
32400,0,16697.7529838969,3936.24358596675,12761.5093979302,1368.82500201464,0
36000,0,16697.7556183304,3836.39090429744,12861.3647140329,1384.25699844956,0
39600,0,16697.7578242313,3876.33523663944,12821.4225875918,1397.72849828005,0
43200,0,16697.7576698554,3896.30614548413,12801.4515243713,1410.16120538116,0
46800,0,16697.7576125689,3816.42183531547,12881.3357772535,1421.24569565058,2.109105e-05
50400,0.0121872998774052,16697.7415042845,3856.34785347209,12841.3936508124,1430.46840578318,0.0003970932
54000,0.0782445013523102,16696.8347082686,3895.38318389728,12801.4515243713,1437.4492071569,0.0006411767
57600,0.10718879699707,16694.9114915175,3893.4599671462,12801.4515243713,1442.89890006185,0.0008326076
61200,0.127255702018738,16692.2246346515,3930.71523672133,12761.5093979302,1447.33200147748,0.0009895715
64800,0.142529094219208,16688.9198684867,3927.41047055648,12761.5093979302,1450.99690109491,0.001121011
68400,0.154674601554871,16685.1034121735,3923.59401424327,12761.5093979302,1454.05529811978,0.001232257
72000,0.164566695690155,16680.8543571171,3959.28708562801,12721.5672714891,1456.61720260978,0.001327091
75600,0.172752499580383,16676.2385548535,3954.67128336442,12721.5672714891,1458.76789987087,0.001408248
79200,0.179594099521637,16671.3082365035,3989.68309145548,12681.625145048,1460.57020202279,0.001477743
82800,0.185341799259186,16666.1098665983,3984.48472155026,12681.625145048,1462.07729876041,0.001537209
86400,0.190183794498444,16660.6810053436,3979.05586029565,12681.625145048,1463.33030387759,0.00158799
90000,0.194265902042389,16655.0563460183,3973.43120097027,12681.625145048,1464.36590179801,0.001631202
93600,0.197702705860138,16649.2621879456,3967.63704289758,12681.625145048,1465.21240845323,0.001667781
97200,0.20058650970459,16643.327445911,3961.70230086298,12681.625145048,1465.89451357722,0.001698521
100800,0.202992391586304,16637.2710553232,3955.64591027521,12681.625145048,1466.42980277538,0.001724077
104400,0.204980397224426,16631.114229658,3949.48908460999,12681.625145048,1466.83920323849,0.001745024
108000,0.206602001190186,16624.8759783501,3943.25083330208,12681.625145048,1467.13710725307,0.001761887
111600,0.207902097702026,16618.5692027579,3936.94405770987,12681.625145048,1467.33440160751,0.001775136
115200,0.208920288085938,16612.2089286748,3930.58378362681,12681.625145048,1467.44300052524,0.001785154
118800,0.209688091278076,16605.8080492755,3924.18290422754,12681.625145048,1467.47430860996,0.001792267
122400,0.210232090950012,16599.376009015,3917.75086396702,12681.625145048,1467.43479520082,0.00179679
126000,0.210577201843262,16592.9242131077,3911.29906805975,12681.625145048,1467.33369976282,0.001798983
129600,0.21074390411377,16586.4590791258,3904.83393407778,12681.625145048,1467.17649921775,0.001799048
133200,0.210747909545898,16579.9919479293,3898.36680288132,12681.625145048,1466.97100400925,0.001797187
136800,0.210604596138,16573.5276702684,3891.90252522041,12681.625145048,1466.72330498695,0.001793686
140400,0.210335898399353,16567.0736212175,3885.44847616949,12681.625145048,1466.43950119615,0.001788704
144000,0.209953498840332,16560.6336430616,3879.00849801363,12681.625145048,1466.12010002136,0.001782426
147600,0.209471201896667,16554.2161569112,3872.59101186323,12681.625145048,1465.77180400491,0.001775
151200,0.20890040397644,16547.8223739658,3866.19722891784,12681.625145048,1465.39510563016,0.001766588
154800,0.208252692222595,16541.4575842958,3859.83243924776,12681.625145048,1464.99290242791,0.001757355
158400,0.207540702819824,16535.1243743477,3853.49922929969,12681.625145048,1464.56820517778,0.001747394
162000,0.206770992279053,16528.8248335896,3847.19968854166,12681.625145048,1464.12249729037,0.001736782
165600,0.2059494972229,16522.5632700383,3840.93812499026,12681.625145048,1463.65900039673,0.001725596
169200,0.205081391334534,16516.342127296,3834.71698224802,12681.625145048,1463.17989900708,0.001713868
172800,0.204169392585754,16510.1603931781,3828.53524813008,12681.625145048,1462.68460154533,0.001701713
176400,0.203221607208252,16504.0221844981,3822.39703945013,12681.625145048,1462.17630133033,0.001689178
180000,0.202241802215576,16497.9290119077,3816.30386685972,12681.625145048,1461.65581047535,0.001676303
183600,0.20123279094696,16491.8812280534,3810.25608300539,12681.625145048,1461.12430244684,0.001663129
187200,0.200197291374207,16485.87992175,3804.25477670197,12681.625145048,1460.58310121298,0.001649693
190800,0.199138200283051,16479.9271396866,3798.30199463865,12681.625145048,1460.03319919109,0.001636028
194400,0.198058104515076,16474.0237006135,3792.39855556547,12681.625145048,1459.47580188513,0.001622166
198000,0.196958994865417,16468.16827913,3786.54313408196,12681.625145048,1458.91010463238,0.001608134
201600,0.195843005180359,16462.3633887728,3780.73824372477,12681.625145048,1458.33830311894,0.001593958
205200,0.194711899757385,16456.6099796045,3774.98483455646,12681.625145048,1457.76119828224,0.001579658
208800,0.193567502498627,16450.9071421094,3769.28199706138,12681.625145048,1457.17850327492,0.001565257
212400,0.192411005496979,16445.2557210769,3763.63057602892,12681.625145048,1456.59179612994,0.001550771
216000,0.191243994235992,16439.6569381223,3758.03179307433,12681.625145048,1456.0013987124,0.001536217
219600,0.190067601203918,16434.1102739475,3752.48512889954,12681.625145048,1455.40719479322,0.001521611
223200,0.188882899284363,16428.6154387723,3746.99029372431,12681.625145048,1454.81089577079,0.001506966
226800,0.187690997123718,16423.1734232061,3741.54827815809,12681.625145048,1454.21209409833,0.001492294
230400,0.186492800712585,16417.7845386046,3736.15939355655,12681.625145048,1453.61209884286,0.001477608
234000,0.185289204120636,16412.4479226948,3730.82277764679,12681.625145048,1453.01010757685,0.001462918
237600,0.184080898761749,16407.1639690423,3725.53882399427,12681.625145048,1452.40659713745,0.001448232
241200,0.182868695259094,16401.933459942,3720.30831489402,12681.625145048,1451.80200412869,0.00143356
244800,0.181653201580048,16396.7566014765,3715.13145642853,12681.625145048,1451.19870379567,0.00141891
248400,0.18043520450592,16391.6309824064,3749.94796379948,12641.6830186069,1450.59450119734,0.001404291
252000,0.179215204715729,16386.5574326414,3804.78760369611,12581.7698289453,1449.98960196972,0.001389715
255600,0.177994203567505,16381.5373430522,3839.70964054804,12541.8277025042,1449.38509836793,0.001375193
259200,0.176773405075073,16376.5691471889,3874.6835711258,12501.8855760631,1448.78259673715,0.001360737
262800,0.175553500652313,16371.6535269091,3909.71007728711,12461.943449622,1448.18130210042,0.001346357
266400,0.174335396289825,16366.7896284957,3904.84617887375,12461.943449622,1447.58200496435,0.001332063
270000,0.17311999797821,16361.9771491489,3900.03369952694,12461.943449622,1446.98389917612,0.001317863
273600,0.171907997131348,16357.2156893513,3895.27223972936,12461.943449622,1446.38820290565,0.001303764
277200,0.170700001716614,16352.5050742677,3890.5616246457,12461.943449622,1445.79500481486,0.001289771
280800,0.169496500492096,16347.8451703535,3885.90172073155,12461.943449622,1445.20520418882,0.001275892
284400,0.168298304080963,16343.2359534295,3881.29250380755,12461.943449622,1444.61720362306,0.001262131
288000,0.167105603218079,16338.6751960193,3876.73174639737,12461.943449622,1444.03179436922,0.001248489
291600,0.165918695926666,16334.1642934576,3872.22084383563,12461.943449622,1443.45070421696,0.001234972
295200,0.164738094806671,16329.7025140399,3867.75906441794,12461.943449622,1442.87280365825,0.00122158
298800,0.163564002513885,16325.2885026066,3863.34505298459,12461.943449622,1442.29830428958,0.001208316
302400,0.162396502494812,16320.922877033,3858.97942741103,12461.943449622,1441.72729328275,0.001195181
306000,0.161235904693604,16316.6046868847,3854.66123726274,12461.943449622,1441.159299016,0.001182177
309600,0.160082399845123,16312.3332231487,3850.38977352669,12461.943449622,1440.59459641576,0.001169303
313200,0.1589359998703,16308.1081019311,3846.16465230917,12461.943449622,1440.03449752927,0.001156561
316800,0.157797002792358,16303.9295620498,3841.98611242779,12461.943449622,1439.47790563107,0.001143951
320400,0.156665396690369,16299.7951014995,3837.85165187757,12461.943449622,1438.92470225692,0.001131472
324000,0.155541300773621,16295.7078081698,3833.7643585478,12461.943449622,1438.37670236826,0.001119125
327600,0.154424595832825,16291.6642738877,3829.72082426576,12461.943449622,1437.83119767904,0.001106909
331200,0.153315496444702,16287.6651734434,3825.72172382139,12461.943449622,1437.28980347514,0.001094824
334800,0.152214097976685,16283.7089463385,3821.76549671649,12461.943449622,1436.7520019412,0.001082869
338400,0.15112019777298,16279.7961658097,3817.8527161877,12461.943449622,1436.21880412102,0.001071043
342000,0.15003399848938,16275.9261760386,3813.98272641659,12461.943449622,1435.68869754672,0.001059345
345600,0.148955404758453,16272.098422388,3810.15497276602,12461.943449622,1435.1629987359,0.001047775
349200,0.147884500026703,16268.3119533075,3806.36850368549,12461.943449622,1434.6404992044,0.001036332
352800,0.146821105480194,16264.5680808058,3802.62463118383,12461.943449622,1434.12380293012,0.001025015
356400,0.145765399932861,16260.8643452849,3798.92089566295,12461.943449622,1433.60920026898,0.001013822
360000,0.144717299938202,16257.2009580352,3795.25750841318,12461.943449622,1433.0994002521,0.001002753
363600,0.143676698207855,16253.5782575674,3791.63480794546,12461.943449622,1432.59300589561,0.0009918063
367200,0.142643702030182,16249.9941116349,3788.0506620129,12461.943449622,1432.09090158343,0.0009809808
370800,0.141618096828461,16246.4502384594,3784.50678883748,12461.943449622,1431.59219771624,0.0009702754
374400,0.140600001811981,16242.9441133448,3781.00066372282,12461.943449622,1431.09800666571,0.0009596888
378000,0.139589297771454,16239.4766000518,3777.5331504298,12461.943449622,1430.60720786452,0.0009492199
381600,0.138585901260376,16236.0470055629,3774.10355594097,12461.943449622,1430.12039810419,0.0009388673
385200,0.13758989572525,16232.6550713452,3770.71162172327,12461.943449622,1429.63770180941,0.0009286298
388800,0.136601197719574,16229.2997357391,3767.35628611712,12461.943449622,1429.1579015553,0.0009185062
392400,0.135619699954987,16225.9810999258,3764.03765030383,12461.943449622,1428.68239358068,0.0009084954
396000,0.134645402431488,16222.6985571896,3760.75510756765,12461.943449622,1428.21070328355,0.000898596
399600,0.133678197860718,16219.4514104212,3757.50796079924,12461.943449622,1427.74210348725,0.0008888066
403200,0.132718098163605,16216.2405077579,3754.29705813589,12461.943449622,1427.27819755673,0.0008791263
406800,0.131765103340149,16213.0632608929,3751.11981127094,12461.943449622,1426.81679874659,0.0008695536
410400,0.130818998813629,16209.9224061851,3747.97895656309,12461.943449622,1426.36079713702,0.0008600875
414000,0.129879796504974,16206.8144729673,3744.8710233453,12461.943449622,1425.90679526329,0.0008507267
417600,0.128947603702545,16203.740379311,3741.79692968898,12461.943449622,1425.45670494437,0.0008414698
421200,0.12802209854126,16200.6998707749,3738.75642115296,12461.943449622,1425.01129359007,0.0008323159
424800,0.127103495597839,16197.6926374915,3735.74918786953,12461.943449622,1424.56760779023,0.0008232637
428400,0.12619149684906,16194.7184979295,3732.77504830755,12461.943449622,1424.12810325623,0.0008143121
432000,0.125286197662353,16191.7764012171,3729.83295159518,12461.943449622,1423.69319647551,NA
